x 	 y 	 label 
-0.218436 	 0.167413 	 O 
-0.183263 	 0.201800 	 O 
-0.018544 	 0.227958 	 O 
0.072201 	 0.162370 	 O 
0.194552 	 0.244663 	 O 
-0.262004 	 0.081107 	 O 
-0.107854 	 0.120641 	 O 
-0.016243 	 0.129832 	 O 
0.078194 	 0.125157 	 O 
0.198261 	 0.064051 	 O 
-0.204176 	 -0.049623 	 O 
-0.182586 	 0.016704 	 O 
-0.028477 	 -0.000346 	 O 
0.073900 	 0.002435 	 O 
0.187864 	 0.017294 	 O 
-0.195327 	 -0.126403 	 O 
-0.139713 	 -0.104876 	 O 
-0.032526 	 -0.117104 	 O 
0.098012 	 -0.099550 	 O 
0.197997 	 -0.065845 	 O 
-0.138175 	 -0.197030 	 O 
-0.138175 	 -0.197030 	 O 
0.006790 	 -0.242650 	 O 
0.157947 	 -0.245925 	 O 
0.157947 	 -0.245925 	 O 
-0.071723 	 0.025005 	 B 
-0.018544 	 0.227958 	 B 
0.002145 	 0.006459 	 B 
-0.017330 	 0.045926 	 B 
0.059582 	 0.016006 	 B 
0.146225 	 -0.000617 	 B 
0.118950 	 -0.011118 	 B 
-0.105879 	 -0.057616 	 B 
-0.041291 	 0.148492 	 B 
-0.138175 	 -0.197030 	 B 
0.006553 	 0.001859 	 B 
-0.212189 	 0.081920 	 B 
-0.183263 	 0.201800 	 B 
-0.101899 	 0.121628 	 B 
0.037653 	 -0.105218 	 B 
-0.006422 	 0.036418 	 B 
-0.038560 	 0.188881 	 B 
-0.218436 	 0.167413 	 B 
0.022620 	 0.040062 	 B 
-0.021443 	 0.056398 	 B 
0.143950 	 -0.045968 	 B 
0.031484 	 -0.103531 	 B 
-0.204176 	 -0.049623 	 B 
-0.077904 	 -0.103063 	 B 
-0.024056 	 -0.196852 	 B 
-0.048527 	 -0.081021 	 B 
0.094603 	 -0.070479 	 B 
0.073900 	 0.002435 	 B 
-0.107854 	 0.120641 	 B 
-0.032417 	 -0.109486 	 B 
-0.039494 	 0.019845 	 B 
-0.086200 	 0.075506 	 B 
-0.011395 	 -0.000968 	 B 
-0.262004 	 0.081107 	 B 
-0.032526 	 -0.117104 	 B 
0.198261 	 0.064051 	 B 
0.075112 	 0.017247 	 B 
-0.083810 	 0.096636 	 B 
0.049966 	 -0.091447 	 B 
-0.028477 	 -0.000346 	 B 
0.069712 	 0.116532 	 B 
-0.088894 	 0.078355 	 B 
0.033775 	 0.010222 	 B 
0.027893 	 0.056982 	 B 
0.153003 	 0.039826 	 B 
0.044249 	 0.008161 	 B 
0.106467 	 0.014511 	 B 
0.028619 	 -0.024604 	 B 
-0.148315 	 -0.102712 	 B 
0.194552 	 0.244663 	 B 
0.110481 	 -0.024007 	 B 
0.051261 	 -0.029842 	 B 
-0.016243 	 0.129832 	 B 
0.043244 	 -0.012574 	 B 
-0.032749 	 0.165329 	 B 
0.098012 	 -0.099550 	 B 
0.169661 	 0.066537 	 B 
-0.107647 	 -0.024717 	 B 
0.035288 	 -0.085106 	 B 
-0.047617 	 -0.106127 	 B 
0.007848 	 -0.070759 	 B 
-0.068862 	 -0.103585 	 B 
0.078194 	 0.125157 	 B 
0.086359 	 0.073230 	 B 
0.063066 	 -0.016709 	 B 
-0.195327 	 -0.126403 	 B 
0.033173 	 -0.185923 	 B 
0.197997 	 -0.065845 	 B 
0.051336 	 0.041870 	 B 
0.000618 	 -0.130917 	 B 
0.024458 	 0.170701 	 B 
0.006790 	 -0.242650 	 B 
-0.165808 	 -0.098862 	 B 
0.070690 	 -0.040533 	 B 
0.072201 	 0.162370 	 B 
0.127678 	 -0.064603 	 B 
0.008889 	 0.099029 	 B 
0.121934 	 0.040229 	 B 
0.124623 	 -0.022536 	 B 
-0.073536 	 -0.011465 	 B 
-0.065494 	 -0.005727 	 B 
-0.023701 	 -0.086304 	 B 
0.012602 	 -0.028304 	 B 
0.049201 	 0.141520 	 B 
-0.088032 	 -0.104551 	 B 
0.053578 	 0.103313 	 B 
-0.170616 	 0.033319 	 B 
0.157947 	 -0.245925 	 B 
-0.024350 	 -0.040376 	 B 
-0.003955 	 -0.154106 	 B 
0.070144 	 0.040207 	 B 
0.187864 	 0.017294 	 B 
-0.182586 	 0.016704 	 B 
0.000309 	 -0.033029 	 F 
-0.016103 	 0.017568 	 F 
0.008236 	 -0.006414 	 F 
0.004643 	 0.001324 	 F 
0.001532 	 -0.010731 	 F 
-0.002678 	 -0.002849 	 F 
-0.014897 	 -0.012873 	 F 
-0.139713 	 -0.104876 	 F 
-0.002819 	 0.015675 	 F 
-0.007050 	 -0.007947 	 F 
-0.012501 	 -0.000296 	 F 
-0.003988 	 -0.005771 	 F 
0.004742 	 0.006848 	 F 
0.007569 	 -0.001629 	 F 
-0.007545 	 0.002836 	 F 
0.033466 	 0.036641 	 F 
-0.006483 	 0.020920 	 F 
0.021638 	 0.004281 	 F 
-0.008026 	 0.017505 	 F 
0.001434 	 0.007739 	 F 
0.022353 	 0.010945 	 F 
0.042120 	 -0.052078 	 F 
-0.006811 	 -0.003171 	 F 
-0.001623 	 -0.017438 	 F 
-0.021088 	 -0.004078 	 F 
-0.000108 	 0.001138 	 F 
-0.005936 	 0.003731 	 F 
-0.007355 	 -0.026751 	 F 
